timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619380062821,1594,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1573,0,4
1619380064416,1649,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1624,0,3
1619380066065,1578,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1561,0,3
1619380067645,1602,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1585,0,4
1619380069247,1575,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1555,0,4
1619380070822,1501,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1480,0,4
1619380072324,1515,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1493,0,4
1619380073840,1540,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1508,0,3
1619380075381,1602,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1577,0,5
1619380076983,1602,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1579,0,5
1619380078585,1541,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1523,0,4
1619380080126,1559,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1542,0,4
1619380081685,1560,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1541,0,3
1619380083245,1610,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1590,0,3
1619380084856,1618,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1596,0,4
1619380086474,1636,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1616,0,5
1619380088110,1541,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1520,0,8
1619380089651,1505,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1487,0,4
1619380091156,1510,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1491,0,3
1619380092666,1516,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1497,0,4
1619380094183,1529,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1511,0,3
1619380095713,1503,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1484,0,3
1619380097217,1544,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1522,0,3
1619380098761,1510,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1489,0,5
1619380100272,1581,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1563,0,3
1619380101854,1511,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1492,0,4
1619380103365,1534,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1513,0,5
1619380104900,1521,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1502,0,4
1619380106422,1544,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1522,0,3
1619380107966,1592,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1575,0,15
1619380109559,1592,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1577,0,4
1619380111151,1530,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1513,0,4
1619380112681,1527,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1513,0,4
1619380114208,1507,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1489,0,4
1619380115715,1535,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1517,0,5
1619380117250,1539,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1516,0,3
1619380118789,1524,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1507,0,4
1619380120313,1540,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1526,0,4
1619380121854,1540,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1525,0,4
1619380123395,1600,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1579,0,3
1619380124996,1570,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1552,0,5
1619380126566,1527,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1506,0,4
1619380128093,1509,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1493,0,4
1619380129603,1535,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1517,0,3
1619380129603,1535,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1517,0,3
1619380129603,1535,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1517,0,3
1619380124996,1570,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1552,0,5
1619380106422,1544,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1522,0,3
1619380106422,1544,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1522,0,3
1619380106422,1544,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1522,0,3
1619380114208,1507,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1489,0,4
1619380100272,1581,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1563,0,3
1619380098761,1510,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1489,0,5
1619380124996,1570,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1552,0,5
1619380067645,1602,sp,200,OK,Thread Group 1-1,text,true,,11233406,141,1,1,http://localhost:5000/api/crimes/?secretary=sp,1585,0,4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"1551,63636363636",,,,,,,"1532,2",,,,,,,,
