timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619379806226,166,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,164,0,5
1619379806392,154,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,152,0,3
1619379806546,159,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,158,0,8
1619379806706,166,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,164,0,3
1619379806872,153,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,152,0,3
1619379807025,157,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,156,0,3
1619379807183,155,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,153,0,4
1619379807338,168,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,167,0,4
1619379807507,155,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,154,0,3
1619379807662,163,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,162,0,5
1619379807826,151,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,150,0,3
1619379807977,152,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,151,0,3
1619379808129,165,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,163,0,5
1619379808294,149,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,148,0,4
1619379808443,166,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,164,0,5
1619379808609,151,df,200,OK,Thread Group 1-1,text,true,,1162789,141,1,1,http://localhost:5000/api/crimes/?secretary=df,150,0,4
